show_id,title,type,platform,primary_genre,genres,director,cast,country,language,release_year,date_added,rating,duration,duration_minutes,num_seasons,num_episodes,imdb_rating,rotten_tomatoes_score,imdb_votes,budget_million_usd,production_company,awards_won,hours_watched_million,description,year_added,month_added,content_age,rating_group,log_imdb_votes,log_budget,type_encoded,platform_encoded,primary_genre_encoded,country_encoded,language_encoded,rating_group_encoded
s1,When the Stars Fall,Movie,Netflix,Drama,"Drama, War, Mystery",David Tarantino,"Brad Pitt, Marion Cotillard",Germany,German,2007,2007-05-10,R,102 min,102.0,0.0,0.0,6.3,56,11754,15.7,Marvel Studios,0,7,"As a deadly accident unfolds, criminal discovers his true identity.",2007,5,0,Adult,9.37203396097417,2.8154087194227095,0,7,7,8,4,0
s2,A Silent Echo,Movie,Amazon Prime Video,Thriller,"Thriller, Adventure",Bong Nolan,"Park Seo-joon, Lupita Nyong'o",France,French,1996,1996-04-28,R,105 min,105.0,0.0,0.0,7.5,80,4602,184.9,Illumination,0,4,A series of strange events leads detective into a deadly game.,1996,4,0,Adult,8.434463543817241,5.225208894727398,0,0,19,7,3,0
s3,Between Lives,Movie,Netflix,Comedy,"Comedy, Mystery",Hirokazu DuVernay,"Masami Nagasawa, Viola Davis, IU, Priyanka Chopra",South Korea,Korean,2026,2026-05-28,PG-13,92 min,92.0,0.0,0.0,8.6,82,19226,17.5,Skydance Media,1,31,"When artist meets a charming stranger, their lives turn upside down.",2026,5,0,Teen,9.864070820172337,2.917770732084279,0,7,4,17,10,3
s4,A Silent Echo,Movie,Disney+,Thriller,Thriller,Akira Zhao,"Meryl Streep, Sakura Ando, Penélope Cruz",India,Hindi,1994,1994-08-06,PG-13,117 min,117.0,0.0,0.0,5.5,73,90507,7.0,Working Title Films,0,51,"When mother witnesses a crime, they become the target of a shadowy organization.",1994,8,0,Teen,11.413193523571218,2.0794415416798357,0,3,19,9,6,3
s5,Labyrinth,Movie,Amazon Prime Video,Action,Action,Akira Blanchett,"Amitabh Bachchan, Idris Elba",Mexico,Spanish,1987,1987-05-22,PG-13,139 min,139.0,0.0,0.0,6.1,62,6487,18.0,Apple Studios,0,12,A former spy is pulled back into action when an old friend returning.,1987,5,0,Teen,8.77770959579525,2.9444389791664403,0,0,0,14,13,3
s6,Between Tomorrow and Never,Movie,HBO Max,Thriller,"Thriller, Sci-Fi",Chloé Almodóvar,"Daniel Craig, Park Seo-joon, Javier Bardem, Aamir Khan, Florence Pugh",United States,English,2004,2008-09-18,PG-13,124 min,124.0,0.0,0.0,8.3,77,100633,42.4,CJ Entertainment,1,75,"When journalist witnesses a crime, they become the target of a shadowy organization.",2008,9,4,Teen,11.519245451715046,3.770459441106359,0,4,19,23,2,3
s7,The Recruit,TV Show,Amazon Prime Video,Documentary,Documentary,Unknown,"Kareena Kapoor, Paul Mescal",United States,English,2014,2014-12-22,TV-MA,5 Seasons,0.0,5.0,60.0,7.7,82,1033,14.9,Illumination,0,1,The true story of a mysterious disappearance and the people who lived it.,2014,12,0,Adult,6.9411900550683745,2.766319109226186,1,0,6,23,2,0
s8,The Morning Show,TV Show,Peacock,Kids,"Kids, Sports",Unknown,"Noah Schnapp, Hiroyuki Sanada",Mexico,Spanish,2026,2026-03-28,TV-MA,2 Seasons,0.0,2.0,12.0,6.6,68,45425,14.9,Studio Ghibli,1,65,A journalist must confront his past while discovering who he truly is.,2026,3,0,Adult,10.723839907331362,2.766319109226186,1,9,11,14,13,0
s9,Beyond the Silence,Movie,Peacock,Documentary,Documentary,Alejandro Peele,"Priyanka Chopra, Penélope Cruz",South Korea,Korean,2022,2023-03-07,PG-13,86 min,86.0,0.0,0.0,6.5,49,7610,8.6,Focus Features,0,7,An in-depth look at food culture and its impact on society.,2023,3,1,Teen,8.937349848267392,2.2617630984737906,0,9,6,17,10,3
s10,The Last Whisper,Movie,HBO Max,Crime,Crime,Hirokazu Jenkins,"Zendaya, Tom Hanks, Ranveer Singh, Aamir Khan",South Korea,Korean,2017,2017-04-01,R,101 min,101.0,0.0,0.0,5.4,48,60309,10.7,Marvel Studios,0,108,A detective must confront his past while risking everything.,2017,4,0,Adult,11.007253206445032,2.4595888418037104,0,4,5,17,10,0
